Yr1996,Yr1997,Yr1998,Yr1999,Yr2000,Yr2001,Yr2002,Yr2003,Yr2004,Yr2005,Yr2006,Yr2007,Yr2008,Yr2009,Yr2010,Yr2011,Yr2012,,
"69,672","72,207","78,253","80,767","97,209","108,347","132,151","146,379","163,969","169,308","173,647","184,748","185,297","176,183","187,990","192,838","189,572",,
"78,547","83,547","94,428","100,729","119,361","134,759","165,715","190,976","213,800","230,029","233,771","252,052","248,778","225,266","244,630","251,877","244,003",,
"73,981","82,270","91,036","96,685","113,937","133,390","162,500","190,956","209,911","219,172","224,839","241,841","239,440","218,058","245,029","237,747","231,733",,
"52,604","56,578","62,156","70,003","80,573","93,412","115,433","139,176","157,713","162,598","175,069","184,812","187,224","159,478","175,405","170,179","174,002",,
"99,582","119,839","134,210","145,256","175,278","191,252","222,654","239,355","268,558","279,743","288,920","302,442","305,684","303,923","335,952","328,299","334,849",,
"95,838","107,129","121,910","134,324","158,559","173,202","201,519","227,179","243,347","258,255","273,005","294,917","298,229","288,395","317,376","312,933","323,619",,
"84,414","100,003","110,052","116,128","137,649","150,685","178,132","199,334","211,248","222,034","223,238","241,281","248,011","237,366","250,980","245,032","252,730",,
"96,369","109,766","124,103","134,541","162,144","174,677","196,938","228,328","242,581","254,033","266,507","294,141","301,494","291,791","317,333","308,593","320,203",,
"99,573","107,770","120,768","135,436","161,450","177,329","207,277","233,553","250,576","265,987","280,950","304,064","309,857","282,561","309,060","319,462","316,780",,
"114,494","124,138","142,983","159,161","174,085","204,861","233,572","263,200","275,244","298,068","320,442","343,230","333,837","332,979","373,700","361,978","369,406",,
